date,numWeek,nameOf,continuousHoliday,nameDay,checkHoliday,nameType
1/1/2020,1,New Year's Day,yes,Wednesday,holiday,Spacial
1/2/2020,1,Normal Day,no,Thursday,not holiday,weekDay
1/3/2020,1,Normal Day,no,Friday,not holiday,weekDay
1/4/2020,1,Normal Day,no,Saturday,holiday,weekEnd
1/5/2020,1,Normal Day,no,Sunday,holiday,weekEnd
1/6/2020,1,Normal Day,no,Monday,not holiday,weekDay
1/7/2020,1,Normal Day,no,Tuesday,not holiday,weekDay
1/8/2020,2,Normal Day,no,Wednesday,not holiday,weekDay
1/9/2020,2,Normal Day,no,Thursday,not holiday,weekDay
1/10/2020,2,Normal Day,no,Friday,not holiday,weekDay
1/11/2020,2,Normal Day,no,Saturday,holiday,weekEnd
1/12/2020,2,Normal Day,no,Sunday,holiday,weekEnd
1/13/2020,2,Normal Day,no,Monday,not holiday,weekDay
1/14/2020,2,Normal Day,no,Tuesday,not holiday,weekDay
1/15/2020,3,Normal Day,no,Wednesday,not holiday,weekDay
1/16/2020,3,Normal Day,no,Thursday,not holiday,weekDay
1/17/2020,3,Normal Day,no,Friday,not holiday,weekDay
1/18/2020,3,Normal Day,no,Saturday,holiday,weekEnd
1/19/2020,3,Normal Day,no,Sunday,holiday,weekEnd
1/20/2020,3,Normal Day,no,Monday,not holiday,weekDay
1/21/2020,3,Normal Day,no,Tuesday,not holiday,weekDay
1/22/2020,4,Normal Day,no,Wednesday,not holiday,weekDay
1/23/2020,4,Normal Day,no,Thursday,not holiday,weekDay
1/24/2020,4,Normal Day,no,Friday,not holiday,weekDay
1/25/2020,4,Normal Day,no,Saturday,holiday,weekEnd
1/26/2020,4,Normal Day,no,Sunday,holiday,weekEnd
1/27/2020,4,Normal Day,no,Monday,not holiday,weekDay
1/28/2020,4,Normal Day,no,Tuesday,not holiday,weekDay
1/29/2020,5,Normal Day,no,Wednesday,not holiday,weekDay
1/30/2020,5,Normal Day,no,Thursday,not holiday,weekDay
1/31/2020,5,Normal Day,no,Friday,not holiday,weekDay
2/1/2020,5,Normal Day,no,Saturday,holiday,weekEnd
2/2/2020,5,Normal Day,no,Sunday,holiday,weekEnd
2/3/2020,5,Normal Day,no,Monday,not holiday,weekDay
2/4/2020,5,Normal Day,no,Tuesday,not holiday,weekDay
2/5/2020,6,Normal Day,no,Wednesday,not holiday,weekDay
2/6/2020,6,Normal Day,no,Thursday,not holiday,weekDay
2/7/2020,6,Normal Day,no,Friday,not holiday,weekDay
2/8/2020,6,Makha Bucha Day,yes,Saturday,holiday,Spacial
2/9/2020,6,Normal Day,yes,Sunday,holiday,weekEnd
2/10/2020,6,Compensatory Holiday,yes,Monday,holiday,Spacial
2/11/2020,6,Normal Day,no,Tuesday,not holiday,weekDay
2/12/2020,7,Normal Day,no,Wednesday,not holiday,weekDay
2/13/2020,7,Normal Day,no,Thursday,not holiday,weekDay
2/14/2020,7,Normal Day,no,Friday,not holiday,weekDay
2/15/2020,7,Normal Day,no,Saturday,holiday,weekEnd
2/16/2020,7,Normal Day,no,Sunday,holiday,weekEnd
2/17/2020,7,Normal Day,no,Monday,not holiday,weekDay
2/18/2020,7,Normal Day,no,Tuesday,not holiday,weekDay
2/19/2020,8,Normal Day,no,Wednesday,not holiday,weekDay
2/20/2020,8,Normal Day,no,Thursday,not holiday,weekDay
2/21/2020,8,Normal Day,no,Friday,not holiday,weekDay
2/22/2020,8,Normal Day,no,Saturday,holiday,weekEnd
2/23/2020,8,Normal Day,no,Sunday,holiday,weekEnd
2/24/2020,8,Normal Day,no,Monday,not holiday,weekDay
2/25/2020,8,Normal Day,no,Tuesday,not holiday,weekDay
2/26/2020,9,Normal Day,no,Wednesday,not holiday,weekDay
2/27/2020,9,Normal Day,no,Thursday,not holiday,weekDay
2/28/2020,9,Normal Day,no,Friday,not holiday,weekDay
2/29/2020,9,Normal Day,no,Saturday,holiday,weekEnd
3/1/2020,9,Normal Day,no,Sunday,holiday,weekEnd
3/2/2020,9,Normal Day,no,Monday,not holiday,weekDay
3/3/2020,9,Normal Day,no,Tuesday,not holiday,weekDay
3/4/2020,10,Normal Day,no,Wednesday,not holiday,weekDay
3/5/2020,10,Normal Day,no,Thursday,not holiday,weekDay
3/6/2020,10,Normal Day,no,Friday,not holiday,weekDay
3/7/2020,10,Normal Day,no,Saturday,holiday,weekEnd
3/8/2020,10,Normal Day,no,Sunday,holiday,weekEnd
3/9/2020,10,Normal Day,no,Monday,not holiday,weekDay
3/10/2020,10,Normal Day,no,Tuesday,not holiday,weekDay
3/11/2020,11,Normal Day,no,Wednesday,not holiday,weekDay
3/12/2020,11,Normal Day,no,Thursday,not holiday,weekDay
3/13/2020,11,Normal Day,no,Friday,not holiday,weekDay
3/14/2020,11,Normal Day,no,Saturday,holiday,weekEnd
3/15/2020,11,Normal Day,no,Sunday,holiday,weekEnd
3/16/2020,11,Normal Day,no,Monday,not holiday,weekDay
3/17/2020,11,Normal Day,no,Tuesday,not holiday,weekDay
3/18/2020,12,Normal Day,no,Wednesday,not holiday,weekDay
3/19/2020,12,Normal Day,no,Thursday,not holiday,weekDay
3/20/2020,12,Normal Day,no,Friday,not holiday,weekDay
3/21/2020,12,Normal Day,no,Saturday,holiday,weekEnd
3/22/2020,12,Normal Day,no,Sunday,holiday,weekEnd
3/23/2020,12,Normal Day,no,Monday,not holiday,weekDay
3/24/2020,12,Normal Day,no,Tuesday,not holiday,weekDay
3/25/2020,13,Normal Day,no,Wednesday,not holiday,weekDay
3/26/2020,13,Normal Day,no,Thursday,not holiday,weekDay
3/27/2020,13,Normal Day,no,Friday,not holiday,weekDay
3/28/2020,13,Normal Day,no,Saturday,holiday,weekEnd
3/29/2020,13,Normal Day,no,Sunday,holiday,weekEnd
3/30/2020,13,Normal Day,no,Monday,not holiday,weekDay
3/31/2020,13,Normal Day,no,Tuesday,not holiday,weekDay
4/1/2020,14,Normal Day,no,Wednesday,not holiday,weekDay
4/2/2020,14,Normal Day,no,Thursday,not holiday,weekDay
4/3/2020,14,Normal Day,no,Friday,not holiday,weekDay
4/4/2020,14,Normal Day,no,Saturday,holiday,weekEnd
4/5/2020,14,Normal Day,no,Sunday,holiday,weekEnd
4/6/2020,14,Chakri Memorial Day,no,Monday,holiday,Spacial
4/7/2020,14,Normal Day,no,Tuesday,not holiday,weekDay
4/8/2020,15,Normal Day,no,Wednesday,not holiday,weekDay
4/9/2020,15,Normal Day,no,Thursday,not holiday,weekDay
4/10/2020,15,Normal Day,no,Friday,not holiday,weekDay
4/11/2020,15,Normal Day,yes,Saturday,holiday,weekEnd
4/12/2020,15,Normal Day,yes,Sunday,holiday,weekEnd
4/13/2020,15,Songkran Festival,yes,Monday,holiday,Spacial
4/14/2020,15,Songkran Festival,yes,Tuesday,holiday,Spacial
4/15/2020,16,Songkran Festival,yes,Wednesday,holiday,Spacial
4/16/2020,16,Normal Day,no,Thursday,not holiday,weekDay
4/17/2020,16,Normal Day,no,Friday,not holiday,weekDay
4/18/2020,16,Normal Day,no,Saturday,holiday,weekEnd
4/19/2020,16,Normal Day,no,Sunday,holiday,weekEnd
4/20/2020,16,Normal Day,no,Monday,not holiday,weekDay
4/21/2020,16,Normal Day,no,Tuesday,not holiday,weekDay
4/22/2020,17,Normal Day,no,Wednesday,not holiday,weekDay
4/23/2020,17,Normal Day,no,Thursday,not holiday,weekDay
4/24/2020,17,Normal Day,no,Friday,not holiday,weekDay
4/25/2020,17,Normal Day,no,Saturday,holiday,weekEnd
4/26/2020,17,Normal Day,no,Sunday,holiday,weekEnd
4/27/2020,17,Normal Day,no,Monday,not holiday,weekDay
4/28/2020,17,Normal Day,no,Tuesday,not holiday,weekDay
4/29/2020,18,Normal Day,no,Wednesday,not holiday,weekDay
4/30/2020,18,Normal Day,no,Thursday,not holiday,weekDay
5/1/2020,18,Labour Day,no,Friday,holiday,Spacial
5/2/2020,18,Normal Day,yes,Saturday,holiday,weekEnd
5/3/2020,18,Normal Day,yes,Sunday,holiday,weekEnd
5/4/2020,18,Coronation Day,yes,Monday,holiday,Spacial
5/5/2020,18,Normal Day,no,Tuesday,not holiday,weekDay
5/6/2020,19,Vesak Day,no,Wednesday,holiday,Spacial
5/7/2020,19,Normal Day,no,Thursday,not holiday,weekDay
5/8/2020,19,Normal Day,no,Friday,not holiday,weekDay
5/9/2020,19,Normal Day,no,Saturday,holiday,weekEnd
5/10/2020,19,Normal Day,no,Sunday,holiday,weekEnd
5/11/2020,19,Royal Ploughing Ceremony,no,Monday,holiday,Spacial
5/12/2020,19,Normal Day,no,Tuesday,not holiday,weekDay
5/13/2020,20,Normal Day,no,Wednesday,not holiday,weekDay
5/14/2020,20,Normal Day,no,Thursday,not holiday,weekDay
5/15/2020,20,Normal Day,no,Friday,not holiday,weekDay
5/16/2020,20,Normal Day,no,Saturday,holiday,weekEnd
5/17/2020,20,Normal Day,no,Sunday,holiday,weekEnd
5/18/2020,20,Normal Day,no,Monday,not holiday,weekDay
5/19/2020,20,Normal Day,no,Tuesday,not holiday,weekDay
5/20/2020,21,Normal Day,no,Wednesday,not holiday,weekDay
5/21/2020,21,Normal Day,no,Thursday,not holiday,weekDay
5/22/2020,21,Normal Day,no,Friday,not holiday,weekDay
5/23/2020,21,Normal Day,no,Saturday,holiday,weekEnd
5/24/2020,21,Normal Day,no,Sunday,holiday,weekEnd
5/25/2020,21,Normal Day,no,Monday,not holiday,weekDay
5/26/2020,21,Normal Day,no,Tuesday,not holiday,weekDay
5/27/2020,22,Normal Day,no,Wednesday,not holiday,weekDay
5/28/2020,22,Normal Day,no,Thursday,not holiday,weekDay
5/29/2020,22,Normal Day,no,Friday,not holiday,weekDay
5/30/2020,22,Normal Day,no,Saturday,holiday,weekEnd
5/31/2020,22,Normal Day,no,Sunday,holiday,weekEnd
6/1/2020,22,Normal Day,no,Monday,not holiday,weekDay
6/2/2020,22,Normal Day,no,Tuesday,not holiday,weekDay
6/3/2020,23,H.M. The Queen Suthida's Birthday,no,Wednesday,holiday,Spacial
6/4/2020,23,Normal Day,no,Thursday,not holiday,weekDay
6/5/2020,23,Normal Day,no,Friday,not holiday,weekDay
6/6/2020,23,Normal Day,no,Saturday,holiday,weekEnd
6/7/2020,23,Normal Day,no,Sunday,holiday,weekEnd
6/8/2020,23,Normal Day,no,Monday,not holiday,weekDay
6/9/2020,23,Normal Day,no,Tuesday,not holiday,weekDay
6/10/2020,24,Normal Day,no,Wednesday,not holiday,weekDay
6/11/2020,24,Normal Day,no,Thursday,not holiday,weekDay
6/12/2020,24,Normal Day,no,Friday,not holiday,weekDay
6/13/2020,24,Normal Day,no,Saturday,holiday,weekEnd
6/14/2020,24,Normal Day,no,Sunday,holiday,weekEnd
6/15/2020,24,Normal Day,no,Monday,not holiday,weekDay
6/16/2020,24,Normal Day,no,Tuesday,not holiday,weekDay
6/17/2020,25,Normal Day,no,Wednesday,not holiday,weekDay
6/18/2020,25,Normal Day,no,Thursday,not holiday,weekDay
6/19/2020,25,Normal Day,no,Friday,not holiday,weekDay
6/20/2020,25,Normal Day,no,Saturday,holiday,weekEnd
